"hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","market_segment","distribution_channel","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","reserved_room_type","assigned_room_type","booking_changes","deposit_type","agent","company","days_in_waiting_list","customer_type","adr","required_car_parking_spaces","total_of_special_requests","reservation_status","reservation_status_date"
"City Hotel",1,393,2017,"April",16,22,2,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","229","NULL",0,"Transient",90,0,0,"Canceled","2016-04-17"
"City Hotel",0,1,2016,"March",10,2,0,1,1,0,0,"BB","PRT","Corporate","Direct",0,0,0,"A","K",0,"No Deposit","NULL","219",0,"Transient",88,0,0,"Check-Out","2016-03-03"
"City Hotel",0,0,2016,"June",24,8,0,1,1,0,0,"BB","PRT","Direct","Direct",0,0,0,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",92.35,0,1,"Check-Out","2016-06-09"
"Resort Hotel",0,11,2015,"December",49,5,2,1,2,0,0,"Undefined","ESP","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","350","NULL",0,"Transient-Party",68,0,0,"Check-Out","2015-12-08"
"Resort Hotel",1,87,2015,"July",30,25,2,4,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","240","NULL",0,"Transient",134,0,3,"Canceled","2015-06-02"
"City Hotel",0,31,2016,"May",20,10,2,5,2,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9","NULL",0,"Transient",140.4,0,0,"Check-Out","2016-05-17"
"City Hotel",1,144,2016,"May",22,27,2,2,2,2,0,"BB","USA","Online TA","TA/TO",0,0,0,"F","F",1,"No Deposit","9","NULL",0,"Transient",177.65,0,1,"Canceled","2016-01-12"
"Resort Hotel",0,7,2016,"July",28,5,0,2,3,0,0,"BB","PRT","Online TA","TA/TO",1,0,1,"E","E",1,"No Deposit","240","NULL",0,"Transient",236,1,2,"Check-Out","2016-07-07"
"City Hotel",1,98,2015,"November",48,23,1,2,1,0,0,"FB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","37","NULL",0,"Transient-Party",84,0,0,"Canceled","2015-09-14"
"City Hotel",1,348,2017,"June",22,3,2,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","6","NULL",0,"Transient",90,0,0,"Canceled","2017-05-16"
"Resort Hotel",0,60,2017,"July",31,31,1,3,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","240","NULL",0,"Transient",257.75,0,2,"Check-Out","2017-08-04"
"City Hotel",1,105,2015,"October",42,12,1,2,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","21","NULL",0,"Transient",110,0,0,"Canceled","2015-08-18"
"Resort Hotel",0,100,2016,"April",18,24,2,2,2,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","240","NULL",0,"Transient",73,0,1,"Check-Out","2016-04-28"
"City Hotel",1,16,2015,"November",45,4,0,2,1,0,0,"BB","PRT","Corporate","Corporate",0,1,0,"A","A",0,"Non Refund","NULL","122",0,"Transient",95,0,0,"Canceled","2015-10-28"
"City Hotel",0,1,2015,"December",50,10,0,1,1,0,0,"BB","PRT","Corporate","Corporate",0,0,0,"A","A",0,"No Deposit","NULL","40",0,"Transient",65,0,0,"Check-Out","2015-12-11"
"City Hotel",1,75,2017,"May",20,20,2,1,1,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","229","NULL",0,"Transient-Party",80,0,0,"Canceled","2017-04-10"
"City Hotel",1,99,2016,"February",8,19,0,1,2,0,0,"BB","PRT","Corporate","Corporate",0,1,0,"A","A",0,"No Deposit","NULL","67",0,"Transient-Party",80,0,0,"Canceled","2015-12-22"
"Resort Hotel",0,0,2016,"April",18,28,0,1,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"A","D",0,"No Deposit","NULL","NULL",0,"Transient",50.4,0,0,"Check-Out","2016-04-29"
"Resort Hotel",0,0,2015,"October",42,11,1,0,2,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","240","NULL",0,"Transient",66,0,1,"Check-Out","2015-10-12"
"Resort Hotel",0,30,2016,"May",20,8,2,0,2,0,0,"BB","PRT","Corporate","Corporate",0,0,0,"A","D",1,"No Deposit","NULL","135",0,"Transient",50,1,0,"Check-Out","2016-05-10"
"Resort Hotel",0,72,2017,"July",29,18,0,4,2,0,0,"HB","ESP","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","240","NULL",0,"Transient",271,0,0,"Check-Out","2017-07-22"
"Resort Hotel",0,61,2016,"March",14,27,2,3,2,0,1,"BB","PRT","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","240","NULL",0,"Transient",56,0,1,"Check-Out","2016-04-01"
"City Hotel",1,99,2016,"March",12,15,0,4,2,0,0,"BB","BEL","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",73.95,0,0,"Canceled","2015-12-19"
"Resort Hotel",1,131,2016,"June",24,8,0,4,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",1,"No Deposit","240","NULL",0,"Transient",93,0,1,"Canceled","2016-04-28"
"City Hotel",1,282,2017,"July",27,5,0,2,2,0,0,"HB","ITA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",141.3,0,1,"Canceled","2016-10-10"
"City Hotel",0,0,2017,"February",8,23,0,1,1,0,0,"SC","USA","Online TA","TA/TO",0,0,0,"A","A",1,"No Deposit","152","NULL",0,"Transient",58.31,0,0,"Check-Out","2017-02-24"
"Resort Hotel",0,221,2015,"October",41,10,1,1,2,0,0,"HB","FRA","Offline TA/TO","TA/TO",0,0,0,"A","C",0,"No Deposit","208","NULL",0,"Transient-Party",74,0,1,"Check-Out","2015-10-12"
"Resort Hotel",0,82,2017,"May",19,8,1,1,1,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","241","NULL",0,"Transient",65.52,1,1,"Check-Out","2017-05-10"
"City Hotel",1,312,2015,"August",35,25,0,4,2,0,0,"BB","PRT","Groups","TA/TO",0,1,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",62,0,0,"Canceled","2015-07-06"
"City Hotel",1,48,2016,"April",16,11,1,2,3,0,0,"BB","CHE","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9","NULL",0,"Transient",137.7,0,1,"Canceled","2016-03-25"
"City Hotel",0,107,2015,"August",33,12,0,1,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"B","B",0,"No Deposit","8","NULL",0,"Transient-Party",90,0,1,"Check-Out","2015-08-13"
"City Hotel",0,25,2016,"July",28,7,0,1,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",151,0,1,"Check-Out","2016-07-08"
"City Hotel",0,18,2015,"September",38,15,0,1,2,0,0,"SC","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","13","NULL",0,"Contract",76.8,0,0,"Check-Out","2015-09-16"
"Resort Hotel",0,0,2015,"November",47,18,0,1,1,0,0,"BB","PRT","Corporate","Corporate",0,0,0,"A","D",0,"No Deposit","NULL","274",0,"Transient",38,0,0,"Check-Out","2015-11-19"
"City Hotel",0,21,2017,"February",9,27,1,3,2,1,0,"SC","ESP","Direct","Direct",0,0,0,"A","A",0,"No Deposit","14","NULL",0,"Transient",108,0,2,"Check-Out","2017-03-03"
"City Hotel",0,7,2017,"February",8,20,1,4,2,0,0,"BB","FRA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","28","NULL",0,"Contract",68,0,0,"Check-Out","2017-02-25"
"City Hotel",1,228,2017,"June",25,22,1,3,3,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9","NULL",0,"Transient",166.5,0,2,"Canceled","2017-01-26"
"Resort Hotel",0,3,2016,"February",9,25,0,1,1,0,0,"BB","PRT","Online TA","TA/TO",1,0,1,"A","D",0,"No Deposit","240","NULL",0,"Transient",43,1,2,"Check-Out","2016-02-26"
"City Hotel",1,333,2016,"September",39,20,0,2,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,1,0,"A","A",0,"Non Refund","58","NULL",19,"Transient",90,0,0,"Canceled","2015-11-11"
"Resort Hotel",1,60,2015,"August",36,31,1,5,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","240","NULL",0,"Transient",120.5,0,1,"Canceled","2015-07-03"
"City Hotel",1,11,2017,"July",29,21,0,1,2,0,0,"SC","ITA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",98,0,1,"Canceled","2017-07-12"
"City Hotel",1,140,2016,"May",19,7,0,1,2,2,0,"BB","ESP","Online TA","TA/TO",0,0,0,"F","F",0,"No Deposit","9","NULL",0,"Transient",177.3,0,0,"Canceled","2015-12-22"
"City Hotel",1,149,2017,"February",8,24,2,2,3,0,0,"BB","BRA","Online TA","TA/TO",0,0,0,"D","D",1,"No Deposit","9","NULL",0,"Transient",119,0,1,"Canceled","2016-10-03"
"Resort Hotel",0,61,2017,"February",8,22,2,5,2,0,0,"BB","DEU","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","240","NULL",0,"Transient",65,1,2,"Check-Out","2017-03-01"
"Resort Hotel",0,4,2017,"January",3,17,0,0,1,0,0,"Undefined","PRT","Groups","Direct",0,0,0,"A","E",0,"No Deposit","NULL","NULL",0,"Transient-Party",0,0,0,"Check-Out","2017-01-17"
"City Hotel",0,33,2016,"February",6,6,1,1,2,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9","NULL",0,"Transient",98.3,1,1,"Check-Out","2016-02-08"
"City Hotel",1,443,2016,"October",41,7,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","1","NULL",391,"Transient",65,0,0,"Canceled","2016-09-20"
"City Hotel",1,363,2015,"October",42,15,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,1,0,"A","A",0,"Non Refund","1","NULL",0,"Contract",62,0,0,"Canceled","2015-01-01"
"City Hotel",1,129,2016,"June",27,27,1,4,2,0,0,"SC","USA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",80.75,0,1,"Canceled","2016-03-13"
"Resort Hotel",0,124,2016,"October",43,22,2,2,2,0,0,"BB","SWE","Groups","Corporate",0,0,0,"E","E",1,"No Deposit","NULL","NULL",0,"Transient-Party",75,1,0,"Check-Out","2016-10-26"
"Resort Hotel",0,0,2015,"December",50,9,0,1,2,0,0,"BB","BEL","Direct","Direct",0,0,0,"D","D",0,"No Deposit","NULL","NULL",0,"Transient",43,0,0,"Check-Out","2015-12-10"
"Resort Hotel",0,45,2017,"June",23,9,0,2,2,0,1,"HB","PRT","Online TA","TA/TO",0,0,0,"A","A",1,"No Deposit","240","NULL",0,"Transient-Party",172,0,0,"Check-Out","2017-06-11"
"City Hotel",0,265,2016,"April",17,20,0,4,2,0,0,"BB","AUT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","30","NULL",176,"Transient-Party",99,0,0,"Check-Out","2016-04-24"
"Resort Hotel",0,274,2017,"March",10,10,1,2,1,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","240","NULL",0,"Transient",39.8,0,2,"Check-Out","2017-03-13"
"Resort Hotel",0,166,2016,"July",29,16,2,5,2,0,0,"BB","SWE","Offline TA/TO","TA/TO",0,0,0,"D","D",0,"No Deposit","253","NULL",0,"Transient",112.7,0,1,"Check-Out","2016-07-23"
"City Hotel",0,7,2017,"July",30,23,2,2,2,0,0,"SC","DEU","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",146.75,0,1,"Check-Out","2017-07-27"
"Resort Hotel",0,364,2016,"October",42,12,0,4,1,0,1,"BB","PRT","Groups","Corporate",0,0,0,"A","A",2,"No Deposit","NULL","223",0,"Transient-Party",60,0,0,"Check-Out","2016-10-16"
"Resort Hotel",0,19,2017,"May",21,22,1,4,2,1,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","242","NULL",0,"Transient",99,0,3,"Check-Out","2017-05-27"
"City Hotel",0,192,2016,"June",26,24,0,2,1,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","34","NULL",0,"Transient-Party",95,0,0,"Check-Out","2016-06-26"
"Resort Hotel",1,289,2016,"September",39,24,2,1,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","96","NULL",0,"Transient-Party",64,0,0,"Canceled","2016-05-19"
"Resort Hotel",1,215,2016,"September",39,19,1,2,2,0,0,"HB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","240","NULL",0,"Transient",112,0,1,"Canceled","2016-02-24"
"Resort Hotel",1,113,2015,"August",32,7,2,5,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","105","NULL",0,"Transient-Party",154.38,0,1,"Canceled","2015-05-14"
"City Hotel",1,153,2017,"June",25,21,0,4,1,0,0,"BB","PRT","Corporate","TA/TO",0,0,0,"A","A",0,"Non Refund","NULL","348",0,"Transient",110,0,0,"Canceled","2017-01-19"
"City Hotel",1,4,2016,"September",40,30,0,2,1,0,0,"BB","PRT","Corporate","Corporate",0,0,0,"A","D",4,"No Deposit","NULL","321",0,"Transient-Party",110,0,0,"Canceled","2016-09-28"
"Resort Hotel",0,37,2015,"July",30,19,2,3,2,0,0,"HB","PRT","Direct","Direct",0,0,0,"D","D",0,"No Deposit","250","NULL",0,"Transient",146.95,0,2,"Check-Out","2015-07-24"
"City Hotel",0,34,2015,"September",39,23,0,3,2,0,0,"HB","ESP","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","52","NULL",33,"Transient-Party",224.67,0,0,"Check-Out","2015-09-26"
"Resort Hotel",0,2,2016,"March",12,16,0,1,1,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","D",0,"No Deposit","240","NULL",0,"Transient",43,0,0,"Check-Out","2016-03-17"
"City Hotel",0,99,2015,"November",48,24,0,2,1,0,0,"BB","LBN","Groups","TA/TO",0,0,0,"A","D",0,"No Deposit","37","NULL",0,"Transient-Party",70,0,0,"Check-Out","2015-11-26"
"City Hotel",0,22,2016,"September",40,26,1,3,2,0,0,"SC","FRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","7","NULL",0,"Transient",91.63,0,1,"Check-Out","2016-09-30"
"City Hotel",0,27,2017,"March",10,5,2,3,2,0,0,"SC","FRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",74.8,0,0,"Check-Out","2017-03-10"
"City Hotel",0,221,2017,"August",31,4,0,1,2,2,0,"BB","NLD","Online TA","TA/TO",0,0,0,"F","F",2,"No Deposit","9","NULL",0,"Transient",211.5,1,1,"Check-Out","2017-08-05"
"Resort Hotel",0,0,2016,"April",15,6,0,2,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"A","A",1,"No Deposit","NULL","NULL",0,"Transient",80,1,0,"Check-Out","2016-04-08"
"City Hotel",1,158,2016,"May",22,24,0,2,1,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","37","NULL",31,"Transient",130,0,0,"Canceled","2016-01-18"
"City Hotel",1,22,2016,"June",24,9,0,3,1,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9","NULL",0,"Transient",149.33,0,0,"Canceled","2016-06-02"
"City Hotel",0,138,2016,"September",36,3,1,1,3,0,0,"HB","ITA","Groups","TA/TO",0,0,0,"A","A",1,"No Deposit","1","NULL",0,"Transient-Party",139.2,0,0,"Check-Out","2016-09-05"
"City Hotel",1,240,2017,"July",30,23,2,1,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","NULL","NULL",0,"Transient",110,0,0,"Canceled","2016-11-25"
"City Hotel",1,299,2015,"August",33,12,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,1,0,"A","A",0,"Non Refund","1","NULL",0,"Transient-Party",62,0,0,"Canceled","2015-07-02"
"City Hotel",0,0,2015,"October",40,1,0,1,1,0,0,"BB","PRT","Corporate","Corporate",0,0,0,"A","D",0,"No Deposit","NULL","96",0,"Transient",109,0,1,"Check-Out","2015-10-02"
"City Hotel",1,16,2016,"December",53,28,2,4,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","3","NULL",0,"Transient",76.67,0,0,"Canceled","2016-12-12"
"Resort Hotel",0,124,2016,"October",43,22,2,2,2,0,0,"BB","SWE","Groups","Corporate",0,0,0,"E","E",2,"No Deposit","NULL","NULL",0,"Transient-Party",75,1,0,"Check-Out","2016-10-26"
"City Hotel",1,21,2016,"February",9,25,0,1,1,0,0,"BB","PRT","Corporate","Corporate",0,0,0,"A","A",0,"No Deposit","NULL","40",0,"Transient",66,0,0,"Canceled","2016-02-25"
"City Hotel",1,1,2017,"March",11,14,0,1,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"A","A",2,"No Deposit","NULL","NULL",0,"Transient",65,0,0,"Canceled","2017-03-14"
"City Hotel",1,16,2017,"April",15,13,1,3,2,0,0,"SC","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","8","NULL",0,"Transient",132.5,0,0,"Canceled","2017-04-06"
"City Hotel",1,209,2017,"July",28,11,0,4,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"D","D",0,"No Deposit","6","NULL",0,"Transient",121.1,0,0,"Canceled","2016-12-21"
"Resort Hotel",1,36,2016,"February",9,26,1,2,2,0,0,"HB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","240","NULL",0,"Transient",78,0,2,"Canceled","2016-01-22"
"Resort Hotel",0,51,2015,"October",40,1,2,3,1,1,0,"BB","PRT","Direct","Direct",0,0,0,"D","D",0,"No Deposit","NULL","NULL",0,"Transient",74.4,0,0,"Check-Out","2015-10-06"
"City Hotel",0,158,2017,"March",13,27,1,1,2,0,0,"BB","ISR","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","37","NULL",0,"Transient-Party",95,0,1,"Check-Out","2017-03-29"
"City Hotel",1,127,2017,"August",35,29,0,3,3,0,0,"BB","DEU","Online TA","TA/TO",0,0,0,"D","D",4,"No Deposit","9","NULL",0,"Transient",195,0,1,"Canceled","2017-06-21"
"City Hotel",0,1,2016,"June",24,10,0,1,2,2,0,"BB","PRT","Online TA","TA/TO",0,0,0,"F","F",0,"No Deposit","9","NULL",0,"Transient",200,0,0,"Check-Out","2016-06-11"
"City Hotel",1,39,2015,"August",33,14,0,2,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","6","NULL",0,"Transient-Party",101.5,0,0,"Canceled","2015-07-06"
"City Hotel",1,55,2015,"July",28,7,0,4,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",1,"No Deposit","9","NULL",0,"Transient-Party",90,0,2,"Canceled","2015-06-27"
"City Hotel",1,29,2016,"May",21,18,0,1,2,0,0,"BB","ISR","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9","NULL",0,"Transient",156,0,0,"Canceled","2016-04-19"
"Resort Hotel",0,7,2016,"December",50,9,2,2,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"E","E",0,"No Deposit","240","NULL",0,"Transient",73,0,0,"Check-Out","2016-12-13"
"Resort Hotel",0,226,2017,"July",27,3,2,5,2,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","240","NULL",0,"Transient",112,0,0,"Check-Out","2017-07-10"
"Resort Hotel",1,393,2016,"October",41,8,2,2,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","68","NULL",0,"Transient",72,0,0,"Canceled","2015-12-17"
"City Hotel",0,13,2015,"October",43,19,1,1,1,0,0,"BB","PRT","Corporate","Corporate",0,0,0,"A","A",0,"No Deposit","NULL","40",0,"Transient",65,0,0,"Check-Out","2015-10-21"
"Resort Hotel",0,3,2016,"December",52,23,0,1,1,0,0,"BB","BGR","Direct","Direct",0,0,0,"A","D",1,"No Deposit","250","499",0,"Transient",44,0,0,"Check-Out","2016-12-24"
"City Hotel",0,3,2017,"May",19,11,0,3,2,0,0,"BB","DEU","Offline TA/TO","TA/TO",0,0,0,"D","D",0,"No Deposit","27","NULL",0,"Transient-Party",141,0,0,"Check-Out","2017-05-14"
"City Hotel",0,51,2017,"April",15,12,0,1,2,0,0,"SC","ESP","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",108,0,0,"Check-Out","2017-04-13"
"Resort Hotel",0,46,2016,"April",17,17,2,0,2,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","240","NULL",0,"Transient",73,0,0,"Check-Out","2016-04-19"
"City Hotel",0,157,2016,"December",50,8,0,3,2,0,0,"BB","ITA","Offline TA/TO","TA/TO",0,0,0,"A","A",2,"No Deposit","83","NULL",0,"Transient-Party",68,0,1,"Check-Out","2016-12-11"
"Resort Hotel",0,0,2017,"March",10,9,0,1,2,0,0,"BB","FIN","Direct","Direct",1,0,0,"D","D",1,"No Deposit","NULL","NULL",0,"Transient",77,1,0,"Check-Out","2017-03-10"
"City Hotel",1,40,2015,"August",33,15,2,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",62,0,0,"Canceled","2015-08-06"
"City Hotel",1,40,2017,"June",24,11,2,2,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","7","NULL",0,"Transient",150,0,1,"Canceled","2017-05-02"
"Resort Hotel",0,32,2015,"November",47,20,0,2,2,0,0,"FB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","D",0,"No Deposit","6","NULL",0,"Transient",67.5,0,0,"Check-Out","2015-11-22"
"Resort Hotel",0,87,2017,"January",2,14,2,1,2,0,0,"HB","IRL","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","241","NULL",0,"Transient",51.89,0,1,"Check-Out","2017-01-17"
"City Hotel",1,5,2016,"November",48,23,0,3,2,0,0,"SC","MAR","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",90.33,0,0,"Canceled","2016-11-23"
