"hotel","is_canceled","lead_time","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","days_in_waiting_list","customer_type","adr","reservation_status"
"City Hotel",1,99,"March",12,15,0,4,2,0,0,"Unknown","BEL",0,"Transient",73.95,"Canceled"
"Resort Hotel",1,131,"June",24,8,0,4,2,0,0,"BB","PRT",0,"Transient",93,"Canceled"
"City Hotel",1,282,"July",27,5,0,2,2,0,0,"HB","ITA",0,"Transient",141.3,"Canceled"
"City Hotel",0,0,"February",8,23,0,1,1,0,0,"SC","USA",0,"Transient",58.31,"Check-Out"
"Resort Hotel",0,221,"October",41,10,1,1,2,0,0,"HB","FRA",0,"Transient-Party",74,"Check-Out"
"Resort Hotel",0,82,"May",19,8,1,1,1,0,0,"BB","Unknown",0,"Transient",65.52,"Check-Out"
"City Hotel",1,312,"August",35,25,0,4,2,0,0,"BB","PRT",0,"Transient-Party",62,"Canceled"
"City Hotel",1,48,"April",16,11,1,2,3,0,0,"BB","Unknown",0,"Transient",137.7,"Canceled"
"City Hotel",0,107,"August",33,12,0,1,2,0,0,"BB","PRT",0,"Transient-Party",90,"Check-Out"
"City Hotel",0,73,"July",28,7,0,1,2,0,0,"BB","PRT",0,"Transient",151,"Check-Out"
"City Hotel",0,18,"September",38,15,0,1,2,0,0,"SC","PRT",0,"Contract",76.8,"Check-Out"
"Resort Hotel",0,0,"November",47,18,0,1,1,0,0,"BB","PRT",0,"Transient",38,"Check-Out"
"City Hotel",0,50,"February",9,27,1,3,2,1,0,"SC","ESP",0,"Transient",108,"Check-Out"
"City Hotel",0,7,"February",8,20,1,4,2,0,0,"BB","FRA",0,"Contract",68,"Check-Out"
"City Hotel",1,228,"June",25,22,1,3,3,0,0,"BB","ESP",0,"Transient",166.5,"Canceled"
"Resort Hotel",0,3,"February",9,25,0,1,1,0,0,"BB","PRT",0,"Transient",43,"Check-Out"
"City Hotel",1,198,"September",39,20,0,2,2,0,0,"BB","PRT",19,"Transient",90,"Canceled"
"Resort Hotel",1,60,"August",36,31,1,5,2,0,0,"BB","PRT",0,"Transient",120.5,"Canceled"
"City Hotel",1,11,"July",29,21,0,1,2,0,0,"SC","ITA",0,"Transient",98,"Canceled"
"City Hotel",1,140,"May",19,7,0,1,2,2,0,"BB","ESP",0,"Transient",177.3,"Canceled"
"City Hotel",1,149,"February",8,24,2,2,3,0,0,"BB","BRA",0,"Transient",119,"Canceled"
"Resort Hotel",0,61,"February",8,22,2,5,2,0,0,"BB","DEU",0,"Transient",65,"Check-Out"
"Resort Hotel",0,4,"January",3,17,0,0,1,0,0,"Undefined","PRT",7,"Transient-Party",0,"Check-Out"
"City Hotel",0,33,"February",6,6,1,1,2,0,0,"BB","ESP",0,"Transient",98.3,"Check-Out"
"City Hotel",1,443,"October",41,7,0,2,2,0,0,"BB","PRT",391,"Transient",65,"Canceled"
"City Hotel",1,363,"October",42,15,0,2,2,0,0,"BB","PRT",0,"Contract",62,"Canceled"
"City Hotel",1,129,"June",27,27,1,4,2,0,0,"SC","Unknown",0,"Transient",80.75,"Canceled"
"Resort Hotel",0,124,"October",43,22,2,2,2,0,0,"BB","SWE",0,"Transient-Party",75,"Check-Out"
"Resort Hotel",0,50,"December",50,9,0,1,2,0,0,"BB","BEL",0,"Transient",43,"Check-Out"
"Resort Hotel",0,45,"June",23,9,0,2,2,0,1,"HB","PRT",0,"Transient-Party",172,"Check-Out"
"City Hotel",0,265,"April",17,20,0,4,2,0,0,"BB","AUT",176,"Transient-Party",99,"Check-Out"
"Resort Hotel",0,274,"March",10,10,1,2,1,0,0,"BB","Unknown",0,"Transient",39.8,"Check-Out"
"Resort Hotel",0,166,"July",29,16,2,5,2,0,0,"BB","SWE",0,"Transient",112.7,"Check-Out"
"City Hotel",0,7,"July",30,23,2,2,2,0,0,"SC","DEU",0,"Transient",146.75,"Check-Out"
"Resort Hotel",0,364,"October",42,12,0,4,1,0,1,"BB","PRT",0,"Transient-Party",60,"Check-Out"
"Resort Hotel",0,19,"May",21,22,1,4,2,1,0,"BB","PRT",0,"Transient",99,"Check-Out"
"City Hotel",0,192,"June",26,24,0,2,1,0,0,"BB","PRT",0,"Transient-Party",95,"Check-Out"
"Resort Hotel",1,289,"September",39,24,2,1,2,0,0,"BB","PRT",0,"Transient-Party",64,"Canceled"
"Resort Hotel",1,215,"September",39,19,1,2,2,0,0,"HB","PRT",0,"Transient",112,"Canceled"
"Resort Hotel",1,113,"August",32,7,2,5,2,0,0,"HB","PRT",0,"Transient-Party",154.38,"Canceled"
"City Hotel",1,153,"June",25,21,0,4,1,0,0,"BB","PRT",0,"Transient",110,"Canceled"
"City Hotel",1,4,"September",40,30,0,2,1,0,0,"BB","PRT",0,"Transient-Party",110,"Canceled"
"Resort Hotel",0,37,"July",30,19,2,3,2,0,0,"HB","PRT",0,"Transient",178,"Check-Out"
"City Hotel",0,34,"September",39,23,0,3,2,0,0,"HB","ESP",33,"Transient-Party",224.67,"Check-Out"
"Resort Hotel",0,2,"March",11,16,0,1,1,0,0,"BB","PRT",0,"Transient",43,"Check-Out"
"City Hotel",0,99,"November",48,24,0,2,1,0,0,"BB","LBN",0,"Transient-Party",70,"Check-Out"
"City Hotel",0,73,"September",40,26,1,3,2,0,0,"SC","FRA",0,"Transient",91.63,"Check-Out"
"City Hotel",0,27,"March",9,5,2,3,2,0,0,"SC","Unknown",0,"Transient",74.8,"Check-Out"
"City Hotel",0,221,"August",31,4,0,1,2,2,0,"BB","NLD",0,"Transient",211.5,"Check-Out"
"Resort Hotel",0,0,"April",15,6,0,2,2,0,0,"BB","PRT",0,"Transient",80,"Check-Out"
"City Hotel",1,158,"May",22,24,0,2,1,0,0,"BB","Unknown",31,"Transient",130,"Canceled"
"City Hotel",1,22,"June",24,9,0,3,1,0,0,"BB","ESP",0,"Transient",149.33,"Canceled"
"City Hotel",0,138,"September",35,3,1,1,3,0,0,"HB","ITA",0,"Transient-Party",139.2,"Check-Out"
"City Hotel",1,240,"July",30,23,2,1,2,0,0,"BB","PRT",0,"Transient",110,"Canceled"
"City Hotel",1,299,"August",33,12,0,2,2,0,0,"BB","PRT",0,"Transient-Party",62,"Canceled"
"City Hotel",0,0,"October",40,1,0,1,1,0,0,"BB","PRT",0,"Transient",109,"Check-Out"
"City Hotel",1,16,"December",53,28,2,4,2,0,0,"BB","PRT",0,"Transient",76.67,"Canceled"
"Resort Hotel",0,124,"October",43,22,2,2,2,0,0,"BB","SWE",0,"Transient-Party",75,"Check-Out"
"City Hotel",1,21,"February",9,25,0,1,1,0,0,"BB","PRT",0,"Transient",66,"Canceled"
"City Hotel",1,1,"March",11,14,0,1,2,0,0,"BB","PRT",0,"Transient",65,"Canceled"
"City Hotel",1,16,"April",15,13,1,3,2,0,0,"SC","PRT",0,"Transient",132.5,"Canceled"
"City Hotel",1,209,"July",28,11,0,4,2,0,0,"Unknown","Unknown",0,"Transient",121.1,"Canceled"
"Resort Hotel",1,36,"February",9,26,1,2,2,0,0,"HB","PRT",0,"Transient",78,"Canceled"
"Resort Hotel",0,51,"October",40,1,2,3,1,1,0,"BB","PRT",0,"Transient",74.4,"Check-Out"
"City Hotel",0,158,"March",13,27,1,1,2,0,0,"BB","ISR",0,"Transient-Party",95,"Check-Out"
"City Hotel",1,127,"August",35,29,0,3,3,0,0,"Unknown","DEU",0,"Transient",195,"Canceled"
"City Hotel",0,1,"June",24,10,0,1,2,2,0,"BB","PRT",0,"Transient",200,"Check-Out"
"City Hotel",1,39,"August",33,14,0,2,2,0,0,"HB","PRT",0,"Transient-Party",101.5,"Canceled"
"City Hotel",1,55,"July",28,7,0,4,2,0,0,"BB","PRT",0,"Transient-Party",90,"Canceled"
"City Hotel",1,29,"May",21,18,0,1,2,0,0,"BB","ISR",0,"Transient",156,"Canceled"
"Resort Hotel",0,7,"December",50,9,2,2,2,0,0,"BB","PRT",0,"Transient",73,"Check-Out"
"Resort Hotel",0,226,"July",27,3,2,5,2,0,0,"BB","GBR",0,"Transient",112,"Check-Out"
"Resort Hotel",1,393,"October",41,8,2,2,2,0,0,"HB","PRT",0,"Transient",62,"Canceled"
"City Hotel",0,13,"October",43,19,1,1,1,0,0,"BB","PRT",0,"Transient",65,"Check-Out"
"Resort Hotel",0,3,"December",52,23,0,1,1,0,0,"BB","BGR",0,"Transient",44,"Check-Out"
"City Hotel",0,3,"May",19,11,0,3,2,0,0,"BB","DEU",0,"Transient-Party",141,"Check-Out"
"City Hotel",0,51,"April",15,12,0,1,2,0,0,"SC","ESP",0,"Transient",108,"Check-Out"
"Resort Hotel",0,46,"April",17,17,2,0,2,0,0,"BB","GBR",0,"Transient",73,"Check-Out"
"City Hotel",0,157,"December",50,8,0,3,2,0,0,"BB","ITA",0,"Transient-Party",68,"Check-Out"
"Resort Hotel",0,0,"March",10,9,0,1,2,0,0,"BB","FIN",0,"Transient",77,"Check-Out"
"City Hotel",1,40,"August",33,15,2,2,2,0,0,"BB","PRT",0,"Transient-Party",62,"Canceled"
"City Hotel",1,40,"June",24,11,2,2,2,0,0,"BB","PRT",0,"Transient",150,"Canceled"
"Resort Hotel",0,32,"November",47,20,0,2,2,0,0,"FB","PRT",0,"Transient",67.5,"Check-Out"
"Resort Hotel",0,87,"January",2,14,2,1,2,0,0,"Unknown","IRL",0,"Transient",51.89,"Check-Out"
"City Hotel",1,5,"November",48,23,0,3,2,0,0,"SC","MAR",0,"Transient",90.33,"Canceled"
"City Hotel",0,26,"May",21,18,0,1,1,0,0,"BB","NLD",0,"Transient",120.12,"Check-Out"
"Resort Hotel",0,235,"October",43,17,1,1,2,0,0,"BB","BEL",0,"Transient",74.5,"Check-Out"
"Resort Hotel",0,134,"July",29,14,1,3,2,0,0,"BB","GBR",0,"Transient",125.25,"Check-Out"
"Resort Hotel",1,145,"March",13,31,2,2,2,0,0,"BB","GBR",0,"Transient",69.25,"Canceled"
"City Hotel",1,97,"October",41,5,1,3,1,0,0,"BB","PRT",0,"Transient",140,"Canceled"
"City Hotel",0,74,"July",26,1,2,2,1,0,0,"BB","ITA",0,"Transient",150,"Check-Out"
"City Hotel",1,17,"June",25,13,1,3,2,0,0,"BB","PRT",0,"Transient",95,"Canceled"
"City Hotel",0,102,"October",42,16,0,2,2,0,0,"HB","DEU",0,"Transient-Party",109,"Check-Out"
"City Hotel",0,75,"December",49,3,1,1,2,0,0,"BB","FRA",0,"Transient",75,"Check-Out"
"City Hotel",1,111,"April",15,13,2,3,2,0,0,"BB","PRT",0,"Transient",89.1,"Canceled"
"Resort Hotel",0,162,"October",41,4,2,5,2,0,0,"BB","GBR",0,"Transient",67.57,"Check-Out"
"Resort Hotel",0,9,"December",52,18,2,0,2,0,0,"BB","FRA",0,"Transient",62,"Check-Out"
"Resort Hotel",0,0,"November",48,25,0,1,1,0,0,"BB","PRT",0,"Transient",38.7,"Check-Out"
"Resort Hotel",0,2,"May",20,15,1,0,2,0,0,"BB","NLD",0,"Transient",82,"Check-Out"
"Resort Hotel",1,257,"June",24,5,4,6,2,2,0,"BB","PRT",0,"Transient",121.5,"Canceled"
"City Hotel",0,149,"May",18,2,0,4,2,0,0,"BB","CHE",0,"Transient",139.5,"Check-Out"
"City Hotel",1,222,"December",49,2,1,2,2,0,0,"BB","IRL",0,"Transient",72.9,"Canceled"
"Resort Hotel",0,335,"September",38,14,2,4,2,0,0,"BB","GBR",0,"Transient-Party",71,"Check-Out"
"Resort Hotel",0,10,"June",25,18,2,2,3,0,0,"BB","GBR",0,"Transient",158.58,"Check-Out"
"City Hotel",0,75,"March",13,31,1,2,2,0,0,"BB","ESP",0,"Transient",89.83,"Check-Out"
"City Hotel",0,3,"January",3,15,1,0,1,0,0,"SC","BRA",0,"Transient",88,"Check-Out"
"City Hotel",0,21,"March",11,14,0,1,1,0,0,"BB","PRT",0,"Transient-Party",251,"Check-Out"
"City Hotel",1,25,"December",53,25,2,0,2,0,0,"HB","FIN",0,"Transient",152,"Canceled"
"Resort Hotel",1,155,"October",44,31,0,1,2,0,0,"BB","PRT",0,"Transient",36,"Canceled"
"Resort Hotel",0,0,"January",5,27,0,1,1,0,0,"BB","PRT",0,"Transient",39,"Check-Out"
"City Hotel",0,9,"November",46,11,0,2,2,0,0,"BB","PRT",0,"Transient",0,"Check-Out"
"City Hotel",1,107,"September",37,5,1,3,2,0,0,"SC","VEN",0,"Transient",118.8,"Canceled"
"City Hotel",1,408,"May",22,30,0,1,2,0,0,"BB","PRT",0,"Transient",90,"Canceled"
"City Hotel",1,164,"May",20,15,1,2,1,0,0,"BB","PRT",0,"Transient",160,"Canceled"
"City Hotel",1,325,"October",43,17,1,2,2,0,0,"BB","PRT",0,"Transient",95,"Canceled"
"City Hotel",1,0,"May",22,29,1,0,2,0,0,"Unknown","PRT",0,"Transient",12,"Canceled"
"City Hotel",0,53,"August",35,24,1,1,1,0,0,"BB","PRT",0,"Transient-Party",60,"Check-Out"
"Resort Hotel",0,26,"September",38,12,1,2,2,0,0,"HB","PRT",0,"Transient",146.1,"Check-Out"
"Resort Hotel",1,71,"August",35,25,0,3,2,0,0,"BB","PRT",0,"Transient",154,"Canceled"
"Resort Hotel",0,195,"May",20,13,2,5,2,0,0,"BB","Unknown",0,"Transient",43.19,"Check-Out"
"City Hotel",0,61,"September",36,5,2,2,2,0,0,"BB","Unknown",0,"Transient-Party",62,"Check-Out"
"Resort Hotel",1,96,"April",16,19,0,1,2,0,0,"BB","ESP",0,"Transient",90,"Canceled"
"Resort Hotel",1,11,"May",22,27,1,2,2,2,0,"BB","GBR",0,"Transient",139,"Canceled"
"Resort Hotel",0,17,"December",49,1,2,5,1,0,0,"Undefined","FRA",0,"Transient",48,"Check-Out"
"City Hotel",1,283,"July",31,27,1,1,2,0,0,"BB","PRT",0,"Transient-Party",62,"Canceled"
"City Hotel",1,27,"June",24,9,0,1,2,0,0,"BB","PRT",0,"Transient-Party",120,"Canceled"
"City Hotel",0,166,"August",32,6,2,1,2,0,0,"SC","ESP",0,"Transient-Party",103.5,"Check-Out"
"Resort Hotel",0,231,"June",25,15,0,3,2,0,0,"BB","IRL",0,"Transient",81,"Check-Out"
"City Hotel",1,80,"March",13,31,0,2,2,0,0,"BB","PRT",0,"Transient",90,"Canceled"
"Resort Hotel",1,24,"April",14,8,0,1,2,0,0,"HB","PRT",0,"Transient",147,"No-Show"
"Resort Hotel",0,47,"December",52,23,1,4,2,0,0,"BB","IRL",0,"Transient",49,"Check-Out"
"City Hotel",1,17,"April",15,6,0,4,2,0,0,"BB","CHN",0,"Transient",133.5,"Canceled"
"City Hotel",0,35,"July",29,11,1,1,2,0,0,"BB","FRA",0,"Transient",118.15,"Check-Out"
"City Hotel",0,4,"February",8,19,0,1,1,0,0,"BB","DEU",0,"Transient-Party",81,"Check-Out"
"City Hotel",1,106,"August",33,19,2,1,2,0,0,"SC","FRA",0,"Transient",125,"Canceled"
"City Hotel",1,38,"January",2,14,0,1,1,0,0,"BB","PRT",0,"Transient",75,"Canceled"
"City Hotel",1,95,"November",48,20,2,0,1,0,0,"BB","HUN",0,"Transient",90,"Canceled"
"City Hotel",1,80,"November",48,21,1,1,1,0,0,"BB","ESP",0,"Transient",86.4,"Canceled"
"Resort Hotel",1,109,"May",19,2,2,5,1,1,0,"BB","PRT",0,"Transient",72.5,"Canceled"
"City Hotel",0,3,"February",9,25,0,1,1,0,0,"BB","PRT",0,"Transient-Party",66,"Check-Out"
"City Hotel",0,190,"July",29,17,1,2,2,1,0,"BB","Unknown",0,"Transient",125.1,"Check-Out"
"Resort Hotel",1,109,"September",38,20,2,5,2,0,0,"BB","PRT",0,"Transient",80,"Canceled"
"Resort Hotel",0,1,"August",33,13,0,1,3,0,0,"BB","IRL",0,"Transient",158,"Check-Out"
"Resort Hotel",1,232,"November",48,26,2,1,2,0,0,"BB","PRT",0,"Transient",30,"Canceled"
"City Hotel",1,192,"October",43,21,1,2,2,0,0,"BB","NLD",0,"Transient",96.3,"Canceled"
"City Hotel",0,140,"July",27,4,0,2,1,0,0,"HB","DEU",0,"Transient-Party",91.5,"Check-Out"
"Resort Hotel",0,133,"February",8,15,1,1,2,0,0,"BB","POL",0,"Transient-Party",26.1,"Check-Out"
"City Hotel",1,447,"September",40,29,0,2,2,0,0,"BB","PRT",0,"Transient",62,"Canceled"
"Resort Hotel",0,18,"January",4,27,1,2,2,0,0,"BB","GBR",0,"Transient",54.56,"Check-Out"
"Resort Hotel",0,157,"July",30,28,2,7,2,0,0,"BB","PRT",0,"Transient",209.4,"Check-Out"
"City Hotel",0,159,"July",31,28,1,3,2,1,0,"BB","FRA",0,"Transient",115.5,"Check-Out"
"City Hotel",0,307,"May",19,11,0,1,2,0,0,"BB","MOZ",0,"Transient-Party",89.1,"Check-Out"
"City Hotel",0,77,"November",48,23,0,1,1,0,0,"BB","ESP",0,"Transient",86.4,"Check-Out"
"Resort Hotel",1,37,"November",46,8,2,5,1,0,0,"BB","PRT",0,"Transient-Party",36,"Canceled"
"City Hotel",0,181,"August",34,16,0,3,2,0,0,"SC","ESP",0,"Transient",94.5,"Check-Out"
"Resort Hotel",0,7,"June",23,1,0,2,1,0,0,"BB","PRI",0,"Transient",58,"Check-Out"
"City Hotel",1,312,"August",35,25,0,4,2,0,0,"BB","PRT",0,"Transient-Party",62,"Canceled"
"Resort Hotel",0,121,"July",31,29,2,6,2,0,0,"BB","ITA",0,"Transient",221.38,"Check-Out"
"Resort Hotel",0,0,"January",2,14,2,1,2,0,0,"BB","SWE",0,"Transient",50,"Check-Out"
"City Hotel",0,42,"February",7,16,0,3,2,0,0,"SC","PRT",0,"Transient",67.76,"Check-Out"
"City Hotel",1,55,"August",34,16,0,3,2,0,0,"BB","ESP",0,"Transient",149.4,"Canceled"
"City Hotel",1,305,"November",45,4,1,2,2,0,0,"BB","PRT",0,"Transient",89,"Canceled"
"Resort Hotel",1,72,"February",6,6,2,1,2,0,0,"HB","PRT",0,"Transient-Party",73.33,"Canceled"
"Resort Hotel",1,262,"July",31,25,1,4,2,0,1,"BB","Unknown",0,"Transient",8,"Canceled"
"City Hotel",0,148,"May",19,5,0,3,2,0,0,"BB","DEU",0,"Transient-Party",105.3,"Check-Out"
"City Hotel",0,7,"July",30,17,2,0,3,0,0,"BB","CHE",0,"Transient",267,"Check-Out"
"City Hotel",0,158,"August",33,8,1,3,2,0,0,"BB","POL",0,"Transient",97.75,"Check-Out"
"City Hotel",0,4,"October",44,25,0,1,1,0,0,"BB","FRA",0,"Transient",95,"Check-Out"
"City Hotel",0,71,"October",43,22,1,1,1,0,0,"HB","CN",0,"Transient",126.5,"Check-Out"
"City Hotel",0,184,"August",34,27,2,2,2,0,0,"BB","NLD",0,"Transient",90.95,"Check-Out"
"City Hotel",1,420,"May",20,20,2,1,1,0,0,"BB","PRT",0,"Transient",80,"Canceled"
"Resort Hotel",0,44,"July",30,20,1,3,2,0,0,"HB","CN",0,"Transient",115.85,"Check-Out"
"Resort Hotel",0,12,"May",21,16,1,0,1,0,0,"BB","Unknown",0,"Transient",70,"Check-Out"
"City Hotel",1,184,"August",32,2,2,5,2,1,0,"HB","ESP",0,"Transient",173.25,"Canceled"
"City Hotel",1,437,"May",19,2,1,2,2,0,0,"BB","PRT",0,"Transient",60,"Canceled"
"Resort Hotel",0,96,"August",32,4,2,5,3,0,0,"HB","PRT",0,"Transient",246.2,"Check-Out"
"City Hotel",1,59,"July",29,12,2,4,2,0,0,"BB","PRT",0,"Transient",76.5,"Canceled"
"City Hotel",0,13,"May",18,1,1,2,2,0,0,"SC","GBR",0,"Transient",126.67,"Check-Out"
"City Hotel",0,80,"June",23,4,2,1,2,0,0,"BB","Unknown",0,"Transient",80.75,"Check-Out"
"Resort Hotel",1,175,"September",38,15,0,4,1,0,0,"BB","PRT",0,"Transient-Party",0,"Canceled"
"City Hotel",0,73,"April",15,5,0,3,2,0,0,"BB","Unknown",0,"Transient",105.3,"Check-Out"
"City Hotel",0,96,"July",28,11,2,1,2,0,0,"HB","PRT",0,"Transient-Party",94.5,"Check-Out"
"City Hotel",1,468,"October",43,20,0,2,2,0,0,"BB","PRT",0,"Transient",62,"Canceled"
"Resort Hotel",0,46,"September",38,16,0,1,2,0,0,"Unknown","CHE",0,"Transient",62,"Check-Out"
"Resort Hotel",0,8,"April",15,3,2,3,2,0,0,"BB","GBR",0,"Transient",131,"Check-Out"
"Resort Hotel",1,312,"July",29,22,2,5,2,0,0,"BB","GBR",0,"Transient",192,"Canceled"
"City Hotel",0,54,"June",26,19,2,3,2,0,0,"SC","BEL",0,"Transient",72.77,"Check-Out"
"Resort Hotel",1,9,"May",21,15,1,0,2,0,0,"BB","PRT",0,"Transient-Party",70,"Canceled"
"City Hotel",0,0,"October",40,1,0,2,2,0,0,"BB","FRA",0,"Contract",135.5,"Check-Out"
"City Hotel",0,188,"July",30,28,0,3,2,0,0,"BB","FRA",0,"Transient-Party",80.75,"Check-Out"
"Resort Hotel",0,68,"May",21,18,2,4,2,0,0,"BB","GBR",0,"Transient",74.4,"Check-Out"
"City Hotel",0,15,"February",8,19,0,1,1,0,0,"BB","PRT",0,"Transient-Party",81,"Check-Out"
"City Hotel",1,118,"June",23,2,0,3,3,0,0,"BB","BEL",0,"Transient",159.3,"Canceled"
"Resort Hotel",1,386,"October",43,20,1,3,2,0,0,"BB","PRT",0,"Transient-Party",49,"Canceled"
"City Hotel",0,16,"September",39,25,1,2,1,0,0,"BB","GBR",0,"Transient-Party",170,"Check-Out"
"City Hotel",0,211,"August",33,13,2,1,2,0,0,"SC","DEU",0,"Transient",88.5,"Check-Out"
"Resort Hotel",1,170,"July",30,23,2,3,2,0,0,"BB","CHE",0,"Transient",180,"Canceled"
"Resort Hotel",1,46,"September",39,19,1,0,2,0,0,"BB","CYP",0,"Transient",92,"Canceled"
"City Hotel",0,219,"September",36,4,1,2,1,0,0,"BB","SWE",0,"Transient-Party",76.67,"Check-Out"
"City Hotel",1,110,"April",17,26,1,4,2,1,0,"SC","NOR",0,"Transient",100.8,"Canceled"
"City Hotel",0,75,"December",50,7,1,2,2,0,0,"Unknown","FRA",0,"Transient",60,"Check-Out"
"City Hotel",1,90,"April",16,19,0,4,2,0,0,"BB","PRT",0,"Transient-Party",100,"Canceled"
"City Hotel",1,59,"January",4,23,1,1,2,0,0,"BB","Unknown",0,"Transient",80,"Canceled"
"Resort Hotel",0,0,"April",16,17,1,0,2,0,0,"BB","PRT",0,"Transient",91,"Check-Out"
"City Hotel",0,0,"December",52,21,0,1,1,0,0,"BB","PRT",0,"Group",65,"Check-Out"
"Resort Hotel",0,141,"May",22,25,0,1,2,0,0,"BB","NOR",0,"Transient-Party",59,"Check-Out"
"City Hotel",1,0,"April",14,2,0,1,2,0,0,"BB","PRT",0,"Transient",89,"Canceled"
